,external_urls,href,id,name,type,uri,track_url
spotify,https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY,https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY,0jnsk9HBra6NMjO2oANoPY,Flo Rida,artist,spotify:artist:0jnsk9HBra6NMjO2oANoPY,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
spotify,https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP,https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP,0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,artist,spotify:artist:0ZrpamOxcZybMHGg1AYtHP,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
spotify,https://open.spotify.com/artist/4tMJliVd96wXoMVNdcOBHp,https://api.spotify.com/v1/artists/4tMJliVd96wXoMVNdcOBHp,4tMJliVd96wXoMVNdcOBHp,Verdine White,artist,spotify:artist:4tMJliVd96wXoMVNdcOBHp,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
spotify,https://open.spotify.com/artist/6PXS4YHDkKvl1wkIl4V8DL,https://api.spotify.com/v1/artists/6PXS4YHDkKvl1wkIl4V8DL,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,artist,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
spotify,https://open.spotify.com/artist/2s0yxtiHiyGe6CY4mbDYFi,https://api.spotify.com/v1/artists/2s0yxtiHiyGe6CY4mbDYFi,2s0yxtiHiyGe6CY4mbDYFi,Remy Boyz,artist,spotify:artist:2s0yxtiHiyGe6CY4mbDYFi,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
spotify,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,1vCWHaC5f2uS3yhpwWbIA6,Avicii,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/track/5eCgNATwXgRc4mZx9NymGJ
spotify,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop,https://api.spotify.com/v1/artists/137W8MRPWKqSmrBGDBFSop,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,artist,spotify:artist:137W8MRPWKqSmrBGDBFSop,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
spotify,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,artist,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
spotify,https://open.spotify.com/artist/4bL2B6hmLlMWnUEZnorEtG,https://api.spotify.com/v1/artists/4bL2B6hmLlMWnUEZnorEtG,4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,artist,spotify:artist:4bL2B6hmLlMWnUEZnorEtG,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
spotify,https://open.spotify.com/artist/0E4gQj9bTIp0cycvzLBk5d,https://api.spotify.com/v1/artists/0E4gQj9bTIp0cycvzLBk5d,0E4gQj9bTIp0cycvzLBk5d,Jasmine Thompson,artist,spotify:artist:0E4gQj9bTIp0cycvzLBk5d,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
spotify,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
spotify,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y,https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,artist,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
spotify,https://open.spotify.com/artist/3t5xRXzsuZmMDkQzgOX35S,https://api.spotify.com/v1/artists/3t5xRXzsuZmMDkQzgOX35S,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,artist,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
spotify,https://open.spotify.com/artist/5X1JzPIIonP3u9lA580pPT,https://api.spotify.com/v1/artists/5X1JzPIIonP3u9lA580pPT,5X1JzPIIonP3u9lA580pPT,Francesco Yates,artist,spotify:artist:5X1JzPIIonP3u9lA580pPT,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
spotify,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,https://api.spotify.com/v1/artists/6S2OmqARrzebs0tKUEyXyp,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,artist,spotify:artist:6S2OmqARrzebs0tKUEyXyp,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
spotify,https://open.spotify.com/artist/6PXS4YHDkKvl1wkIl4V8DL,https://api.spotify.com/v1/artists/6PXS4YHDkKvl1wkIl4V8DL,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,artist,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
spotify,https://open.spotify.com/artist/6DIS6PRrLS3wbnZsf7vYic,https://api.spotify.com/v1/artists/6DIS6PRrLS3wbnZsf7vYic,6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,artist,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
spotify,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
spotify,https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT,https://api.spotify.com/v1/artists/1SupJlEpv7RS2tPNRaHViT,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,artist,spotify:artist:1SupJlEpv7RS2tPNRaHViT,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
spotify,https://open.spotify.com/artist/7qG3b048QCHVRO5Pv1T5lw,https://api.spotify.com/v1/artists/7qG3b048QCHVRO5Pv1T5lw,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,artist,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
spotify,https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt,https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt,1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,artist,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
spotify,https://open.spotify.com/artist/6KZDXtSj0SzGOV705nNeh3,https://api.spotify.com/v1/artists/6KZDXtSj0SzGOV705nNeh3,6KZDXtSj0SzGOV705nNeh3,Kid Ink,artist,spotify:artist:6KZDXtSj0SzGOV705nNeh3,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
spotify,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,artist,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
