Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,3115,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2630,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
3,"This Is What You Came For","Calvin Harris",2376,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",2343,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
5,"Cheap Thrills",Sia,2263,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
6,"Don't Let Me Down","The Chainsmokers",2237,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
7,"No Money",Galantis,2114,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
8,Panda,Desiigner,1990,https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3
9,"Fast Car - Radio Edit","Jonas Blue",1955,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
10,Sex,"Cheat Codes",1949,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
11,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1948,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
12,"Work from Home","Fifth Harmony",1738,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
13,"Never Be Like You",Flume,1585,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
14,"Cake By The Ocean",DNCE,1574,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
15,"Too Good",Drake,1475,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
16,"Into You","Ariana Grande",1442,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
17,Faded,"Alan Walker",1408,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
18,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",1398,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
19,Close,"Nick Jonas",1383,https://open.spotify.com/track/4Zpe9VME8DiFjLdqSqPRoZ
20,"Needed Me",Rihanna,1379,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
21,"Once In a While",Timeflies,1366,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
22,"Lush Life","Zara Larsson",1363,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
23,Middle,"DJ Snake",1332,https://open.spotify.com/track/2Fn3coxd0xAZ09JtrgcgHa
24,Stay,Kygo,1310,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
25,Gold,Kiiara,1309,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
26,"i hate u, i love u (feat. olivia o'brien)",gnash,1302,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,"7 Years","Lukas Graham",1283,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
28,"Hymn For The Weekend",Coldplay,1264,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
29,"Me, Myself & I",G-Eazy,1250,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
30,"Treat You Better","Shawn Mendes",1229,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
31,"Stressed Out","Twenty One Pilots",1206,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
32,"Wherever I Go",OneRepublic,1194,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
33,Ride,"Twenty One Pilots",1141,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
34,"Never Forget You","Zara Larsson",1116,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
35,"Kill Em With Kindness","Selena Gomez",1108,https://open.spotify.com/track/1QNoKVgA758HFLu3TW2q7R
36,Capsize,FRENSHIP,1078,https://open.spotify.com/track/4qH3RkbFgzxYyXUD8YC8kr
37,"If It Ain't Love","Jason Derulo",1076,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
38,Roses,"The Chainsmokers",1070,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
39,"Wild Things","Alessia Cara",1048,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
