,code,date,url
77,mx,2015-11-17,https://spotifycharts.com/regional/mx/daily/2015-11-17/download
78,mx,2015-11-18,https://spotifycharts.com/regional/mx/daily/2015-11-18/download
79,mx,2015-11-19,https://spotifycharts.com/regional/mx/daily/2015-11-19/download
80,mx,2015-11-20,https://spotifycharts.com/regional/mx/daily/2015-11-20/download
81,mx,2015-11-21,https://spotifycharts.com/regional/mx/daily/2015-11-21/download
82,mx,2015-11-22,https://spotifycharts.com/regional/mx/daily/2015-11-22/download
83,mx,2015-11-23,https://spotifycharts.com/regional/mx/daily/2015-11-23/download
84,mx,2015-11-24,https://spotifycharts.com/regional/mx/daily/2015-11-24/download
85,mx,2015-11-25,https://spotifycharts.com/regional/mx/daily/2015-11-25/download
86,mx,2015-11-26,https://spotifycharts.com/regional/mx/daily/2015-11-26/download
87,mx,2015-11-27,https://spotifycharts.com/regional/mx/daily/2015-11-27/download
88,mx,2015-11-28,https://spotifycharts.com/regional/mx/daily/2015-11-28/download
89,mx,2015-11-29,https://spotifycharts.com/regional/mx/daily/2015-11-29/download
90,mx,2015-11-30,https://spotifycharts.com/regional/mx/daily/2015-11-30/download
91,mx,2015-12-01,https://spotifycharts.com/regional/mx/daily/2015-12-01/download
92,mx,2015-12-02,https://spotifycharts.com/regional/mx/daily/2015-12-02/download
93,mx,2015-12-03,https://spotifycharts.com/regional/mx/daily/2015-12-03/download
94,mx,2015-12-04,https://spotifycharts.com/regional/mx/daily/2015-12-04/download
95,mx,2015-12-05,https://spotifycharts.com/regional/mx/daily/2015-12-05/download
96,mx,2015-12-06,https://spotifycharts.com/regional/mx/daily/2015-12-06/download
97,mx,2015-12-07,https://spotifycharts.com/regional/mx/daily/2015-12-07/download
98,mx,2015-12-08,https://spotifycharts.com/regional/mx/daily/2015-12-08/download
99,mx,2015-12-09,https://spotifycharts.com/regional/mx/daily/2015-12-09/download
100,mx,2015-12-10,https://spotifycharts.com/regional/mx/daily/2015-12-10/download
101,mx,2015-12-11,https://spotifycharts.com/regional/mx/daily/2015-12-11/download
102,mx,2015-12-12,https://spotifycharts.com/regional/mx/daily/2015-12-12/download
103,mx,2015-12-13,https://spotifycharts.com/regional/mx/daily/2015-12-13/download
104,mx,2015-12-14,https://spotifycharts.com/regional/mx/daily/2015-12-14/download
105,mx,2015-12-15,https://spotifycharts.com/regional/mx/daily/2015-12-15/download
106,mx,2015-12-16,https://spotifycharts.com/regional/mx/daily/2015-12-16/download
107,mx,2015-12-17,https://spotifycharts.com/regional/mx/daily/2015-12-17/download
108,mx,2015-12-18,https://spotifycharts.com/regional/mx/daily/2015-12-18/download
109,mx,2015-12-19,https://spotifycharts.com/regional/mx/daily/2015-12-19/download
110,mx,2015-12-20,https://spotifycharts.com/regional/mx/daily/2015-12-20/download
111,mx,2015-12-21,https://spotifycharts.com/regional/mx/daily/2015-12-21/download
112,mx,2015-12-22,https://spotifycharts.com/regional/mx/daily/2015-12-22/download
113,mx,2015-12-23,https://spotifycharts.com/regional/mx/daily/2015-12-23/download
114,mx,2015-12-24,https://spotifycharts.com/regional/mx/daily/2015-12-24/download
115,mx,2015-12-25,https://spotifycharts.com/regional/mx/daily/2015-12-25/download
116,mx,2015-12-26,https://spotifycharts.com/regional/mx/daily/2015-12-26/download
117,mx,2015-12-27,https://spotifycharts.com/regional/mx/daily/2015-12-27/download
