Position,"Track Name",Artist,Streams,URL
1,Closer,"The Chainsmokers",37611,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2,Heathens,"Twenty One Pilots",32377,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
3,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",31509,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
4,"Let Me Love You","DJ Snake",26761,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",25536,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
6,Faded,"Alan Walker",22118,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
7,"Treat You Better","Shawn Mendes",21805,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
8,"Don't Let Me Down","The Chainsmokers",20372,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
9,"One Dance",Drake,20144,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
10,"i hate u, i love u (feat. olivia o'brien)",gnash,19397,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
11,"This Is What You Came For","Calvin Harris",19362,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
12,"Kill Em With Kindness","Selena Gomez",16147,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
13,Ride,"Twenty One Pilots",15946,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
14,"Cheap Thrills",Sia,15715,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
15,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",15284,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
16,"The Ocean","Mike Perry",15200,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
17,Starving,"Hailee Steinfeld",14626,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
18,"Into You","Ariana Grande",14445,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
19,Toothbrush,DNCE,14013,https://open.spotify.com/track/38510fWvtOkrFjg2EDkJtT
20,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",13830,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
21,"In the Name of Love","Martin Garrix",13382,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
